Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/04  00:10:00,22.2,1.0,315.0,0.0,0.0 
 03/04  00:20:00,21.7,0.9,329.0,0.0,0.0 
 03/04  00:30:00,22.6,0.8,330.0,0.0,0.0 
 03/04  00:40:00,21.9,1.3,338.0,0.0,0.0 
 03/04  00:50:00,21.6,2.1,348.0,0.0,0.0 
 03/04  01:00:00,21.4,2.0,346.0,0.0,0.0 
 03/04  01:10:00,21.0,2.3,337.0,0.0,0.0 
 03/04  01:20:00,21.3,2.1,309.0,0.0,0.0 
 03/04  01:30:00,20.5,2.4,347.0,0.0,0.0 
 03/04  01:40:00,20.5,2.7,334.0,0.0,0.0 
 03/04  01:50:00,20.6,2.2,343.0,0.0,0.0 
 03/04  02:00:00,20.3,1.8,188.0,0.0,0.0 
 03/04  02:10:00,19.7,2.0,213.0,0.0,0.0 
 03/04  02:20:00,19.2,2.2,343.0,0.0,0.0 
 03/04  02:30:00,19.4,2.5,341.0,0.0,0.0 
 03/04  02:40:00,19.6,2.1,333.0,0.0,0.0 
 03/04  02:50:00,18.9,2.1,209.0,0.0,0.0 
 03/04  03:00:00,18.5,1.9,155.0,0.0,0.0 
 03/04  03:10:00,18.1,1.2,280.0,0.0,0.0 
 03/04  03:20:00,17.9,2.0,283.0,0.0,0.0 
 03/04  03:30:00,18.8,1.9,277.0,0.0,0.0 
 03/04  03:40:00,19.2,2.2,309.0,0.0,0.0 
 03/04  03:50:00,18.5,2.5,327.0,0.0,0.0 
 03/04  04:00:00,18.7,2.2,312.0,0.0,0.0 
 03/04  04:10:00,17.9,2.2,319.0,0.0,0.0 
 03/04  04:20:00,17.5,2.4,316.0,0.0,0.0 
 03/04  04:30:00,17.5,2.2,309.0,0.0,0.0 
 03/04  04:40:00,17.7,2.0,332.0,0.0,0.0 
 03/04  04:50:00,17.6,2.5,330.0,0.0,0.0 
 03/04  05:00:00,17.4,2.3,332.0,0.0,0.0 
 03/04  05:10:00,17.3,2.7,340.0,0.0,0.0 
 03/04  05:20:00,17.3,2.9,346.0,0.0,0.0 
 03/04  05:30:00,17.3,2.8,345.0,0.0,0.0 
 03/04  05:40:00,17.1,3.2,345.0,0.0,0.0 
 03/04  05:50:00,16.9,3.3,343.0,0.0,0.0 
 03/04  06:00:00,16.8,3.3,345.0,0.0,0.0 
 03/04  06:10:00,16.8,3.2,344.0,0.0,0.0 
 03/04  06:20:00,16.7,3.1,354.0,0.0,0.0 
 03/04  06:30:00,16.7,2.8,352.0,0.0,0.0 
 03/04  06:40:00,16.7,2.7,341.0,0.0,0.0 
 03/04  06:50:00,16.5,2.3,344.0,0.0,0.0 
 03/04  07:00:00,16.4,2.7,344.0,0.0,0.0 
 03/04  07:10:00,16.1,2.6,329.0,0.891,1.4953738434927026 
 03/04  07:20:00,15.9,2.4,323.0,7.444,9.838493236482194 
 03/04  07:30:00,16.1,2.2,330.0,17.28,30.24783218594515 
 03/04  07:40:00,16.2,2.3,330.0,26.78,59.599522484739275 
 03/04  07:50:00,16.6,1.8,306.0,35.4,95.87346123248966 
 03/04  08:00:00,17.1,1.5,287.0,42.56,130.9336268531717 
 03/04  08:10:00,17.8,1.2,293.0,49.06,172.5731923483004 
 03/04  08:20:00,18.8,1.1,266.0,55.15,211.5929100213842 
 03/04  08:30:00,19.8,1.1,204.0,60.57,251.6653455853017 
 03/04  08:40:00,20.6,0.8,214.0,65.13,293.32299242590096 
 03/04  08:50:00,21.2,1.4,201.0,69.48,337.17055753607355 
 03/04  09:00:00,21.1,1.6,189.0,74.43,378.39563700615025 
 03/04  09:10:00,21.8,1.5,178.0,77.43,419.1144381604242 
 03/04  09:20:00,22.3,1.4,156.0,81.8,460.6937372864215 
 03/04  09:30:00,22.8,1.8,225.0,85.9,500.9316291317923 
 03/04  09:40:00,22.9,1.6,203.0,90.1,537.6946919695524 
 03/04  09:50:00,23.1,1.3,170.0,93.1,575.5860044944965 
 03/04  10:00:00,23.3,1.0,162.0,95.8,615.7053096755897 
 03/04  10:10:00,23.9,1.7,131.0,94.1,639.1141060518077 
 03/04  10:20:00,24.4,1.6,193.0,94.7,661.9845091340217 
 03/04  10:30:00,24.4,1.6,118.0,98.2,686.5067414089216 
 03/04  10:40:00,25.0,1.8,97.0,101.8,709.8393223481875 
 03/04  10:50:00,24.8,1.4,183.0,104.0,730.4431848104035 
 03/04  11:00:00,25.4,1.2,179.0,105.2,748.6822190155564 
 03/04  11:10:00,25.3,1.8,199.0,107.7,766.8230388493802 
 03/04  11:20:00,25.4,1.9,167.0,111.3,784.6350136067147 
 03/04  11:30:00,25.4,1.7,209.0,112.1,798.1906428918426 
 03/04  11:40:00,26.2,1.4,191.0,112.3,809.6648769774555 
 03/04  11:50:00,25.2,1.2,157.0,114.1,821.235970719608 
 03/04  12:00:00,27.0,2.0,115.0,115.2,830.5848821987086 
 03/04  12:10:00,27.0,1.7,171.0,116.1,838.1955863439287 
 03/04  12:20:00,27.2,2.2,146.0,116.6,843.8552774475027 
 03/04  12:30:00,26.8,1.9,192.0,118.8,849.6538899048298 
 03/04  12:40:00,26.2,1.5,148.0,120.5,853.3844580916775 
 03/04  12:50:00,28.1,1.6,165.0,120.8,854.1430597407867 
 03/04  13:00:00,27.6,1.8,250.0,121.4,853.6289658189481 
 03/04  13:10:00,28.4,1.0,247.0,121.3,850.8443585455088 
 03/04  13:20:00,28.9,1.4,311.0,121.6,846.8944384773145 
 03/04  13:30:00,27.6,2.0,227.0,123.5,842.987555186244 
 03/04  13:40:00,28.4,1.5,172.0,123.5,835.635091356677 
 03/04  13:50:00,29.4,1.5,171.0,125.3,828.5512047697777 
 03/04  14:00:00,29.0,2.2,135.0,130.6,823.4534019353327 
 03/04  14:10:00,29.3,2.3,79.0,132.7,813.6619988042567 
 03/04  14:20:00,28.8,2.0,146.0,134.3,801.9000917739675 
 03/04  14:30:00,29.6,1.5,193.0,135.0,787.7939237188335 
 03/04  14:40:00,29.3,2.9,127.0,134.5,771.072559998184 
 03/04  14:50:00,29.7,1.1,224.0,132.3,751.2679300047794 
 03/04  15:00:00,30.4,1.5,112.0,130.5,730.5147554563414 
 03/04  15:10:00,30.4,2.3,122.0,129.0,708.7504240639973 
 03/04  15:20:00,30.7,1.5,212.0,125.9,684.115446259829 
 03/04  15:30:00,30.8,2.7,231.0,123.5,658.9527843239688 
 03/04  15:40:00,29.5,2.4,153.0,121.1,632.6082641420663 
 03/04  15:50:00,30.7,1.7,147.0,118.0,604.4306869143762 
 03/04  16:00:00,31.5,1.9,136.0,115.2,575.4715353048401 
 03/04  16:10:00,31.5,2.1,172.0,112.8,545.8853701710137 
 03/04  16:20:00,32.0,1.8,238.0,110.1,515.0300353367414 
 03/04  16:30:00,31.7,1.4,164.0,106.2,482.0668721704119 
 03/04  16:40:00,32.4,0.9,160.0,100.8,446.76144490051075 
 03/04  16:50:00,32.0,1.5,156.0,97.5,412.78429648777797 
 03/04  17:00:00,31.8,2.3,159.0,94.6,378.5124869197905 
 03/04  17:10:00,32.0,1.3,162.0,90.0,341.93201399643607 
 03/04  17:20:00,32.6,1.7,175.0,85.1,304.54203192029337 
 03/04  17:30:00,31.7,2.2,216.0,80.5,267.0625034854984 
 03/04  17:40:00,31.2,2.5,191.0,74.21,227.65868746185464 
 03/04  17:50:00,31.1,1.8,202.0,66.44,186.761433218129 
 03/04  18:00:00,31.1,1.6,207.0,58.72,146.25614691267066 
 03/04  18:10:00,30.8,1.7,184.0,49.93,106.72823826148783 
 03/04  18:20:00,30.1,2.0,177.0,41.03,70.42659669804316 
 03/04  18:30:00,30.2,1.2,206.0,29.8,38.91331794934726 
 03/04  18:40:00,29.8,1.2,206.0,0.0,0.0 
 03/04  18:50:00,29.0,0.9,241.0,0.0,0.0 
 03/04  19:00:00,28.3,0.2,279.0,0.0,0.0 
 03/04  19:10:00,27.8,0.0,255.0,0.0,0.0 
 03/04  19:20:00,27.1,0.0,303.0,0.0,0.0 
 03/04  19:30:00,26.5,0.6,340.0,0.0,0.0 
 03/04  19:40:00,25.8,2.0,346.0,0.0,0.0 
 03/04  19:50:00,25.4,2.6,316.0,0.0,0.0 
 03/04  20:00:00,25.0,2.4,318.0,0.0,0.0 
 03/04  20:10:00,24.7,2.3,321.0,0.0,0.0 
 03/04  20:20:00,24.3,2.2,353.0,0.0,0.0 
 03/04  20:30:00,24.3,2.2,316.0,0.0,0.0 
 03/04  20:40:00,24.2,2.8,239.0,0.0,0.0 
 03/04  20:50:00,24.0,2.7,310.0,0.0,0.0 
 03/04  21:00:00,24.4,3.1,348.0,0.0,0.0 
 03/04  21:10:00,24.2,2.1,251.0,0.0,0.0 
 03/04  21:20:00,24.0,1.2,110.0,0.0,0.0 
 03/04  21:30:00,24.0,1.6,279.0,0.0,0.0 
 03/04  21:40:00,23.8,2.0,348.0,0.0,0.0 
 03/04  21:50:00,23.8,2.7,355.0,0.0,0.0 
 03/04  22:00:00,23.5,2.1,355.0,0.0,0.0 
 03/04  22:10:00,23.5,2.2,284.0,0.0,0.0 
 03/04  22:20:00,23.4,1.5,319.0,0.0,0.0 
 03/04  22:30:00,23.6,1.5,109.0,0.0,0.0 
 03/04  22:40:00,23.5,0.3,273.0,0.0,0.0 
 03/04  22:50:00,23.1,0.1,323.0,0.0,0.0 
 03/04  23:00:00,23.0,0.6,287.0,0.0,0.0 
 03/04  23:10:00,22.6,1.3,284.0,0.0,0.0 
 03/04  23:20:00,22.4,1.3,170.0,0.0,0.0 
 03/04  23:30:00,22.4,0.8,115.0,0.0,0.0 
 03/04  23:40:00,21.9,0.3,215.0,0.0,0.0 
 03/04  23:50:00,21.4,1.0,229.0,0.0,0.0 
 03/04  24:00:00,21.6,1.0,50.0,0.0,0.0 
 03/05  00:10:00,21.3,1.2,46.0,0.0,0.0 
 03/05  00:20:00,20.5,0.3,73.0,0.0,0.0 
 03/05  00:30:00,20.7,1.1,95.0,0.0,0.0 
 03/05  00:40:00,21.1,0.4,103.0,0.0,0.0 
 03/05  00:50:00,20.9,1.5,15.0,0.0,0.0 
 03/05  01:00:00,20.6,2.1,247.0,0.0,0.0 
 03/05  01:10:00,20.7,2.5,339.0,0.0,0.0 
 03/05  01:20:00,20.8,2.4,335.0,0.0,0.0 
 03/05  01:30:00,20.5,2.4,323.0,0.0,0.0 
 03/05  01:40:00,21.0,1.7,323.0,0.0,0.0 
 03/05  01:50:00,21.1,1.8,245.0,0.0,0.0 
 03/05  02:00:00,20.5,1.8,308.0,0.0,0.0 
 03/05  02:10:00,20.1,2.0,90.0,0.0,0.0 
 03/05  02:20:00,20.1,1.3,29.0,0.0,0.0 
 03/05  02:30:00,20.3,1.0,33.0,0.0,0.0 
 03/05  02:40:00,20.3,0.8,19.0,0.0,0.0 
 03/05  02:50:00,20.2,1.1,49.0,0.0,0.0 
 03/05  03:00:00,20.2,0.6,36.0,0.0,0.0 
 03/05  03:10:00,20.0,0.2,191.0,0.0,0.0 
 03/05  03:20:00,19.9,0.6,277.0,0.0,0.0 
 03/05  03:30:00,20.2,1.3,344.0,0.0,0.0 
 03/05  03:40:00,20.3,2.0,346.0,0.0,0.0 
 03/05  03:50:00,19.7,2.4,344.0,0.0,0.0 
 03/05  04:00:00,19.7,2.3,340.0,0.0,0.0 
 03/05  04:10:00,20.0,2.1,343.0,0.0,0.0 
 03/05  04:20:00,19.1,2.5,352.0,0.0,0.0 
 03/05  04:30:00,18.8,2.4,315.0,0.0,0.0 
 03/05  04:40:00,19.0,2.1,347.0,0.0,0.0 
 03/05  04:50:00,18.8,2.0,350.0,0.0,0.0 
 03/05  05:00:00,18.6,1.4,248.0,0.0,0.0 
 03/05  05:10:00,18.8,1.3,250.0,0.0,0.0 
 03/05  05:20:00,18.0,2.1,179.0,0.0,0.0 
 03/05  05:30:00,18.1,1.5,344.0,0.0,0.0 
 03/05  05:40:00,18.4,1.6,339.0,0.0,0.0 
 03/05  05:50:00,17.5,1.9,338.0,0.0,0.0 
 03/05  06:00:00,17.5,1.5,333.0,0.0,0.0 
 03/05  06:10:00,17.4,1.8,333.0,0.0,0.0 
 03/05  06:20:00,17.2,2.1,325.0,0.0,0.0 
 03/05  06:30:00,17.6,1.6,328.0,0.0,0.0 
 03/05  06:40:00,17.3,1.8,333.0,0.0,0.0 
 03/05  06:50:00,17.1,2.5,341.0,0.0,0.0 
 03/05  07:00:00,17.2,2.9,351.0,0.0,0.0 
 03/05  07:10:00,17.0,3.2,349.0,1.469,2.0694369043529046 
 03/05  07:20:00,17.0,2.8,344.0,8.77,11.53768032270202 
 03/05  07:30:00,17.0,2.8,280.0,18.63,32.06874719137959 
 03/05  07:40:00,17.2,2.8,144.0,28.32,60.48940286462344 
 03/05  07:50:00,17.3,2.0,340.0,36.75,93.48549130371714 
 03/05  08:00:00,17.7,1.8,342.0,44.6,128.11619083015765 
 03/05  08:10:00,18.4,1.1,179.0,51.56,164.19409259222317 
 03/05  08:20:00,19.7,0.2,208.0,57.67,203.98316079141136 
 03/05  08:30:00,21.3,0.0,237.0,62.81,244.1246084794136 
 03/05  08:40:00,21.5,0.0,275.0,67.77,286.14478329536894 
 03/05  08:50:00,22.5,0.0,127.0,72.16,329.3456342910332 
 03/05  09:00:00,23.4,0.2,106.0,75.95,373.0233097709263 
 03/05  09:10:00,23.6,0.7,116.0,79.89,414.94491131795286 
 03/05  09:20:00,24.3,0.9,145.0,83.0,456.7534713996063 
 03/05  09:30:00,24.6,1.2,155.0,86.6,495.5029614308112 
 03/05  09:40:00,24.5,1.8,167.0,89.0,542.8488809000204 
 03/05  09:50:00,24.3,1.5,121.0,90.5,583.8190180579234 
 03/05  10:00:00,24.8,1.6,81.0,92.1,613.6941895124435 
 03/05  10:10:00,24.7,1.4,170.0,94.8,639.8447295490588 
 03/05  10:20:00,25.8,1.4,171.0,98.1,665.3933103551154 
 03/05  10:30:00,24.5,2.1,153.0,100.1,688.395411299921 
 03/05  10:40:00,25.5,1.9,183.0,101.6,709.6092201219166 
 03/05  10:50:00,25.9,2.0,149.0,104.0,730.3957716322354 
 03/05  11:00:00,25.7,2.1,155.0,107.3,750.7189264219656 
 03/05  11:10:00,26.2,2.5,165.0,110.3,769.3451313813129 
 03/05  11:20:00,26.1,2.0,185.0,114.0,787.2437853993096 
 03/05  11:30:00,26.3,1.9,181.0,115.6,801.5872147726496 
 03/05  11:40:00,26.9,2.3,174.0,116.7,813.9505050484216 
 03/05  11:50:00,26.5,1.3,207.0,117.6,824.6117666949596 
 03/05  12:00:00,26.8,2.2,187.0,119.2,834.4520532432638 
 03/05  12:10:00,27.1,1.6,183.0,124.7,846.6553319733425 
 03/05  12:20:00,27.4,2.0,178.0,127.7,854.808683118932 
 03/05  12:30:00,27.5,2.3,221.0,134.7,865.4019108203395 
 03/05  12:40:00,27.9,2.0,236.0,141.1,873.8282704152987 
 03/05  12:50:00,28.2,1.3,148.0,146.7,879.8837787717555 
 03/05  13:00:00,29.2,1.4,82.0,152.5,884.5676352130095 
 03/05  13:10:00,28.5,2.5,96.0,154.1,883.481941262078 
 03/05  13:20:00,28.1,1.9,146.0,153.9,879.032079940441 
 03/05  13:30:00,28.7,1.7,144.0,155.0,874.3262118924073 
 03/05  13:40:00,29.1,2.3,144.0,155.8,867.7757933200312 
 03/05  13:50:00,30.0,1.0,98.0,155.0,858.0951311029785 
 03/05  14:00:00,29.1,1.5,156.0,153.5,846.2013437738208 
 03/05  14:10:00,30.1,2.4,203.0,152.5,833.3149658741771 
 03/05  14:20:00,29.9,1.9,204.0,150.3,817.7592040637239 
 03/05  14:30:00,30.3,1.5,150.0,148.8,801.4602249870336 
 03/05  14:40:00,30.7,2.0,161.0,148.0,784.4470069419492 
 03/05  14:50:00,30.4,2.1,170.0,143.9,762.7515378959528 
 03/05  15:00:00,30.4,2.7,155.0,140.5,740.4084950881336 
 03/05  15:10:00,31.4,0.9,156.0,137.4,717.055421934117 
 03/05  15:20:00,31.7,2.0,154.0,136.7,694.8325784967192 
 03/05  15:30:00,31.6,2.7,200.0,137.4,672.7832208774886 
 03/05  15:40:00,32.3,0.9,136.0,137.6,649.0531170724037 
 03/05  15:50:00,32.8,1.5,141.0,138.5,624.8910222375773 
 03/05  16:00:00,32.7,1.9,151.0,139.6,599.8485471706713 
 03/05  16:10:00,32.9,1.7,146.0,141.6,574.6804329260165 
 03/05  16:20:00,32.6,2.3,120.0,144.4,549.3443789608506 
 03/05  16:30:00,33.0,1.5,125.0,142.7,518.6021014845599 
 03/05  16:40:00,33.2,2.1,128.0,144.8,490.819129418064 
 03/05  16:50:00,33.1,2.1,114.0,153.5,468.8663575814889 
 03/05  17:00:00,33.2,1.8,121.0,165.6,442.76571211996986 
 03/05  17:10:00,33.3,2.0,154.0,176.3,423.46788966162774 
 03/05  17:20:00,32.9,1.9,169.0,188.8,398.90301410818313 
 03/05  17:30:00,32.9,2.8,200.0,192.5,373.9108328486133 
 03/05  17:40:00,32.0,2.6,195.0,166.2,317.5997166261019 
 03/05  17:50:00,32.0,1.7,154.0,129.6,233.12940648696184 
 03/05  18:00:00,31.7,2.6,146.0,101.1,162.22152006382166 
 03/05  18:10:00,31.0,2.2,168.0,73.9,102.61985114529651 
 03/05  18:20:00,31.2,1.5,182.0,63.14,92.91043614621566 
 03/05  18:30:00,31.1,1.8,174.0,53.85,63.09262565012375 
 03/05  18:40:00,30.2,2.3,184.0,0.0,0.0 
 03/05  18:50:00,30.0,2.0,155.0,0.0,0.0 
 03/05  19:00:00,29.7,1.3,165.0,0.0,0.0 
 03/05  19:10:00,29.4,1.1,188.0,0.0,0.0 
 03/05  19:20:00,29.1,0.4,178.0,0.0,0.0 
 03/05  19:30:00,28.9,0.2,195.0,0.0,0.0 
 03/05  19:40:00,28.7,0.0,213.0,0.0,0.0 
 03/05  19:50:00,28.2,0.0,285.0,0.0,0.0 
 03/05  20:00:00,27.8,0.8,320.0,0.0,0.0 
 03/05  20:10:00,27.2,1.9,326.0,0.0,0.0 
 03/05  20:20:00,27.2,2.2,349.0,0.0,0.0 
 03/05  20:30:00,25.8,2.9,349.0,0.0,0.0 
 03/05  20:40:00,25.7,2.6,314.0,0.0,0.0 
 03/05  20:50:00,25.6,2.1,249.0,0.0,0.0 
 03/05  21:00:00,25.2,2.2,247.0,0.0,0.0 
 03/05  21:10:00,24.9,2.0,313.0,0.0,0.0 
 03/05  21:20:00,24.9,1.7,55.0,0.0,0.0 
 03/05  21:30:00,24.9,1.3,146.0,0.0,0.0 
 03/05  21:40:00,24.6,1.4,217.0,0.0,0.0 
 03/05  21:50:00,24.6,1.3,178.0,0.0,0.0 
 03/05  22:00:00,24.5,0.8,248.0,0.0,0.0 
 03/05  22:10:00,24.0,1.4,119.0,0.0,0.0 
 03/05  22:20:00,23.8,1.3,212.0,0.0,0.0 
 03/05  22:30:00,23.9,0.3,266.0,0.0,0.0 
 03/05  22:40:00,23.9,1.2,283.0,0.0,0.0 
 03/05  22:50:00,23.8,0.5,272.0,0.0,0.0 
 03/05  23:00:00,23.5,0.0,236.0,0.0,0.0 
 03/05  23:10:00,23.2,1.0,81.0,0.0,0.0 
 03/05  23:20:00,23.3,0.9,162.0,0.0,0.0 
 03/05  23:30:00,23.3,0.7,155.0,0.0,0.0 
 03/05  23:40:00,22.8,0.4,226.0,0.0,0.0 
 03/05  23:50:00,22.9,0.3,246.0,0.0,0.0 
 03/05  24:00:00,22.8,1.2,208.0,0.0,0.0 
 03/06  00:10:00,22.7,1.7,130.0,0.0,0.0 
 03/06  00:20:00,22.7,0.5,120.0,0.0,0.0 
 03/06  00:30:00,22.8,0.2,103.0,0.0,0.0 
 03/06  00:40:00,22.6,0.5,132.0,0.0,0.0 
 03/06  00:50:00,22.6,0.0,187.0,0.0,0.0 
 03/06  01:00:00,22.7,0.0,29.0,0.0,0.0 
 03/06  01:10:00,22.4,1.0,181.0,0.0,0.0 
 03/06  01:20:00,22.1,1.7,213.0,0.0,0.0 
 03/06  01:30:00,21.2,2.2,273.0,0.0,0.0 
 03/06  01:40:00,21.1,2.1,331.0,0.0,0.0 
 03/06  01:50:00,21.4,2.3,336.0,0.0,0.0 
 03/06  02:00:00,21.3,2.3,337.0,0.0,0.0 
 03/06  02:10:00,20.8,2.3,343.0,0.0,0.0 
 03/06  02:20:00,20.3,2.5,338.0,0.0,0.0 
 03/06  02:30:00,19.7,2.4,331.0,0.0,0.0 
 03/06  02:40:00,20.5,2.2,338.0,0.0,0.0 
 03/06  02:50:00,20.3,2.2,338.0,0.0,0.0 
 03/06  03:00:00,19.8,2.0,329.0,0.0,0.0 
 03/06  03:10:00,19.7,1.9,331.0,0.0,0.0 
 03/06  03:20:00,19.7,2.1,336.0,0.0,0.0 
 03/06  03:30:00,19.5,2.3,350.0,0.0,0.0 
 03/06  03:40:00,19.3,2.1,354.0,0.0,0.0 
 03/06  03:50:00,19.2,1.7,276.0,0.0,0.0 
 03/06  04:00:00,19.1,1.5,333.0,0.0,0.0 
 03/06  04:10:00,18.9,1.9,332.0,0.0,0.0 
 03/06  04:20:00,19.4,1.8,334.0,0.0,0.0 
 03/06  04:30:00,19.0,2.0,334.0,0.0,0.0 
 03/06  04:40:00,18.7,2.0,338.0,0.0,0.0 
 03/06  04:50:00,18.9,2.0,346.0,0.0,0.0 
 03/06  05:00:00,18.6,2.2,349.0,0.0,0.0 
 03/06  05:10:00,18.4,2.3,41.0,0.0,0.0 
 03/06  05:20:00,18.7,2.3,22.0,0.0,0.0 
 03/06  05:30:00,18.9,1.8,23.0,0.0,0.0 
 03/06  05:40:00,19.0,1.6,14.0,0.0,0.0 
 03/06  05:50:00,19.1,1.5,144.0,0.0,0.0 
 03/06  06:00:00,19.1,1.7,345.0,0.0,0.0 
 03/06  06:10:00,19.4,2.0,351.0,0.0,0.0 
 03/06  06:20:00,19.0,2.1,353.0,0.0,0.0 
 03/06  06:30:00,18.4,2.1,41.0,0.0,0.0 
 03/06  06:40:00,18.3,2.1,251.0,0.0,0.0 
 03/06  06:50:00,18.5,2.0,350.0,0.0,0.0 
 03/06  07:00:00,18.2,1.8,249.0,0.0,0.0 
 03/06  07:10:00,18.2,2.1,313.0,1.756,1.9527336208631434 
 03/06  07:20:00,18.6,2.2,211.0,10.35,12.221028729600087 
 03/06  07:30:00,18.8,2.0,179.0,22.59,31.273018941462567 
 03/06  07:40:00,19.1,1.4,341.0,35.58,56.0952986337306 
 03/06  07:50:00,19.5,1.4,351.0,48.92,85.65367571774959 
 03/06  08:00:00,19.9,1.5,80.0,61.98,118.83054078454853 
 03/06  08:10:00,20.3,1.0,116.0,74.48,152.87999438484093 
