Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/08  15:20:00,30.8,2.1,175.0,329.2,767.8258928725794 
 03/08  15:30:00,31.3,2.0,161.0,260.0,766.0095763255345 
 03/08  15:40:00,31.3,2.0,139.0,274.2,757.0532814714392 
 03/08  15:50:00,31.7,1.5,196.0,318.9,728.6469861170979 
 03/08  16:00:00,31.7,1.8,127.0,290.7,708.7899853231513 
 03/08  16:10:00,31.9,2.3,111.0,236.8,637.0096177327673 
 03/08  16:20:00,31.7,1.1,98.0,232.7,408.31450262983725 
 03/08  16:30:00,31.1,1.6,131.0,198.2,453.51486910341237 
 03/08  16:40:00,32.2,1.5,106.0,188.0,487.51334781189206 
 03/08  16:50:00,32.5,1.9,80.0,214.3,492.03756499563696 
 03/08  17:00:00,31.2,2.0,123.0,204.6,459.0645034928662 
 03/08  17:10:00,31.2,1.7,115.0,179.2,369.96534030202804 
 03/08  17:20:00,32.5,1.1,134.0,172.7,373.14467630926407 
 03/08  17:30:00,32.5,1.9,124.0,165.4,342.66442277409715 
 03/08  17:40:00,32.5,1.3,88.0,157.1,299.8476888802875 
 03/08  17:50:00,31.7,1.1,91.0,116.5,221.37090741383668 
 03/08  18:00:00,30.9,1.3,89.0,89.6,153.95698141237744 
 03/08  18:10:00,30.8,0.7,120.0,72.96,130.9221256367805 
 03/08  18:20:00,30.6,1.0,96.0,56.52,87.39220488940074 
 03/08  18:30:00,30.0,1.1,63.0,36.8,46.42545176193495 
 03/08  18:40:00,29.3,0.3,78.0,20.47,20.47 
 03/08  18:50:00,29.2,0.0,68.0,0.0,0.0 
 03/08  19:00:00,29.0,0.1,68.0,0.0,0.0 
 03/08  19:10:00,28.8,0.4,89.0,0.0,0.0 
 03/08  19:20:00,28.4,0.9,14.0,0.0,0.0 
 03/08  19:30:00,28.0,1.3,251.0,0.0,0.0 
 03/08  19:40:00,27.8,1.3,339.0,0.0,0.0 
 03/08  19:50:00,27.8,1.6,343.0,0.0,0.0 
 03/08  20:00:00,27.1,2.5,343.0,0.0,0.0 
 03/08  20:10:00,26.5,2.2,342.0,0.0,0.0 
 03/08  20:20:00,26.2,1.9,300.0,0.0,0.0 
 03/08  20:30:00,26.0,1.0,279.0,0.0,0.0 
 03/08  20:40:00,26.2,0.0,328.0,0.0,0.0 
 03/08  20:50:00,26.2,1.2,296.0,0.0,0.0 
 03/08  21:00:00,26.1,0.6,75.0,0.0,0.0 
 03/08  21:10:00,26.1,0.0,204.0,0.0,0.0 
 03/08  21:20:00,26.0,0.3,293.0,0.0,0.0 
 03/08  21:30:00,26.0,0.6,316.0,0.0,0.0 
 03/08  21:40:00,26.0,0.4,315.0,0.0,0.0 
 03/08  21:50:00,25.7,1.1,232.0,0.0,0.0 
 03/08  22:00:00,25.2,0.8,181.0,0.0,0.0 
 03/08  22:10:00,25.2,0.0,71.0,0.0,0.0 
 03/08  22:20:00,25.1,0.0,13.0,0.0,0.0 
 03/08  22:30:00,24.5,1.2,245.0,0.0,0.0 
 03/08  22:40:00,24.1,1.9,347.0,0.0,0.0 
 03/08  22:50:00,24.2,2.0,355.0,0.0,0.0 
 03/08  23:00:00,24.1,1.5,346.0,0.0,0.0 
 03/08  23:10:00,23.9,1.9,218.0,0.0,0.0 
 03/08  23:20:00,24.0,1.8,100.0,0.0,0.0 
 03/08  23:30:00,24.1,0.4,214.0,0.0,0.0 
 03/08  23:40:00,23.9,0.6,154.0,0.0,0.0 
 03/08  23:50:00,24.0,0.3,346.0,0.0,0.0 
 03/08  24:00:00,23.5,1.1,184.0,0.0,0.0 
 03/09  00:10:00,23.5,1.1,112.0,0.0,0.0 
 03/09  00:20:00,23.4,0.4,72.0,0.0,0.0 
 03/09  00:30:00,23.0,0.0,49.0,0.0,0.0 
 03/09  00:40:00,23.0,1.0,49.0,0.0,0.0 
 03/09  00:50:00,22.8,0.9,42.0,0.0,0.0 
 03/09  01:00:00,23.1,1.0,36.0,0.0,0.0 
 03/09  01:10:00,23.2,1.0,35.0,0.0,0.0 
 03/09  01:20:00,23.2,0.3,113.0,0.0,0.0 
 03/09  01:30:00,23.0,1.5,16.0,0.0,0.0 
 03/09  01:40:00,22.7,1.4,17.0,0.0,0.0 
 03/09  01:50:00,22.9,0.8,9.0,0.0,0.0 
 03/09  02:00:00,22.8,1.4,45.0,0.0,0.0 
 03/09  02:10:00,22.8,1.5,15.0,0.0,0.0 
 03/09  02:20:00,22.9,1.4,79.0,0.0,0.0 
 03/09  02:30:00,22.9,1.4,113.0,0.0,0.0 
 03/09  02:40:00,22.8,1.1,216.0,0.0,0.0 
 03/09  02:50:00,22.6,1.0,218.0,0.0,0.0 
 03/09  03:00:00,22.2,0.4,239.0,0.0,0.0 
 03/09  03:10:00,22.2,1.0,253.0,0.0,0.0 
 03/09  03:20:00,22.2,0.9,233.0,0.0,0.0 
 03/09  03:30:00,22.1,1.3,228.0,0.0,0.0 
 03/09  03:40:00,21.9,0.3,123.0,0.0,0.0 
 03/09  03:50:00,21.7,0.1,94.0,0.0,0.0 
 03/09  04:00:00,21.4,0.0,80.0,0.0,0.0 
 03/09  04:10:00,21.0,0.6,76.0,0.0,0.0 
 03/09  04:20:00,20.5,1.3,39.0,0.0,0.0 
 03/09  04:30:00,20.6,1.0,343.0,0.0,0.0 
 03/09  04:40:00,20.3,2.1,279.0,0.0,0.0 
 03/09  04:50:00,20.0,2.4,311.0,0.0,0.0 
 03/09  05:00:00,20.1,2.0,328.0,0.0,0.0 
 03/09  05:10:00,20.8,1.8,336.0,0.0,0.0 
 03/09  05:20:00,20.5,1.4,306.0,0.0,0.0 
 03/09  05:30:00,20.5,1.0,317.0,0.0,0.0 
 03/09  05:40:00,19.9,1.2,279.0,0.0,0.0 
 03/09  05:50:00,19.6,1.5,45.0,0.0,0.0 
 03/09  06:00:00,19.3,1.7,147.0,0.0,0.0 
 03/09  06:10:00,19.3,1.8,277.0,0.0,0.0 
 03/09  06:20:00,19.6,1.3,100.0,0.0,0.0 
 03/09  06:30:00,19.7,0.3,27.0,0.0,0.0 
 03/09  06:40:00,19.7,0.5,81.0,0.0,0.0 
 03/09  06:50:00,19.6,0.6,212.0,0.0,0.0 
 03/09  07:00:00,19.0,1.4,282.0,0.0,0.0 
 03/09  07:10:00,19.1,2.0,347.0,2.5,2.5 
 03/09  07:20:00,18.9,2.5,346.0,10.56,13.266661200227077 
 03/09  07:30:00,18.8,2.6,353.0,22.04,32.72959012051504 
 03/09  07:40:00,18.7,2.1,283.0,34.03,58.5794151222767 
 03/09  07:50:00,18.7,1.7,146.0,45.49,88.52891616567 
 03/09  08:00:00,19.1,1.6,17.0,56.44,123.02460580060689 
 03/09  08:10:00,20.0,0.9,32.0,66.41,159.84764724974764 
 03/09  08:20:00,20.8,0.6,37.0,75.21,198.39474639606044 
 03/09  08:30:00,22.1,0.2,85.0,82.4,236.6840659954646 
 03/09  08:40:00,22.8,0.6,108.0,88.7,278.74961373747766 
 03/09  08:50:00,23.7,0.1,152.0,93.9,320.1582093816246 
 03/09  09:00:00,24.0,0.6,160.0,98.0,358.43308547714673 
 03/09  09:10:00,24.2,1.2,138.0,101.8,405.3200028487433 
 03/09  09:20:00,24.6,1.0,131.0,105.3,450.8539225505982 
 03/09  09:30:00,25.0,0.9,146.0,108.7,488.9964699993319 
 03/09  09:40:00,25.3,1.4,147.0,113.4,525.2852768460898 
 03/09  09:50:00,25.0,1.9,160.0,117.9,566.5282136015992 
 03/09  10:00:00,26.0,0.7,171.0,121.9,602.329567008252 
 03/09  10:10:00,25.9,1.6,184.0,124.9,638.1260111199724 
 03/09  10:20:00,26.7,0.5,156.0,126.1,671.9283585068378 
 03/09  10:30:00,25.6,2.4,123.0,129.2,707.534903765023 
 03/09  10:40:00,26.1,1.2,160.0,131.4,738.7726194694003 
 03/09  10:50:00,26.8,1.5,170.0,133.6,759.7463988265959 
 03/09  11:00:00,26.7,1.5,154.0,134.5,777.6048884575986 
 03/09  11:10:00,26.3,1.3,109.0,135.2,793.8717042809269 
 03/09  11:20:00,26.9,1.8,148.0,136.8,809.616032087026 
 03/09  11:30:00,27.5,1.7,172.0,137.6,823.1100915185766 
 03/09  11:40:00,27.6,1.5,230.0,139.0,835.7288298922655 
 03/09  11:50:00,26.7,1.8,132.0,139.7,846.1502059452203 
 03/09  12:00:00,27.0,2.1,110.0,139.4,854.0552132182623 
 03/09  12:10:00,28.0,1.8,93.0,140.3,861.627689175393 
 03/09  12:20:00,28.6,2.1,114.0,141.2,867.6547025014618 
 03/09  12:30:00,27.2,1.6,147.0,142.7,872.7261758586535 
 03/09  12:40:00,29.1,2.2,94.0,144.5,876.5349828098335 
 03/09  12:50:00,29.5,1.5,130.0,145.0,877.4773508262008 
 03/09  13:00:00,28.6,1.7,167.0,146.6,877.9523786088905 
 03/09  13:10:00,29.5,2.9,141.0,152.4,881.0620302786558 
 03/09  13:20:00,29.8,1.9,172.0,159.2,883.611788596955 
 03/09  13:30:00,29.3,2.5,101.0,175.7,894.3096973312595 
 03/09  13:40:00,29.9,2.7,53.0,194.9,906.1671519705889 
 03/09  13:50:00,29.6,1.5,128.0,243.2,945.5983642727033 
 03/09  14:00:00,29.9,1.3,128.0,329.3,838.1448728879462 
 03/09  14:10:00,31.0,1.9,157.0,337.2,946.5950815039901 
 03/09  14:20:00,31.6,3.2,210.0,326.6,971.4063654996157 
 03/09  14:30:00,30.9,3.4,200.0,269.9,921.9521536575306 
 03/09  14:40:00,30.0,2.6,177.0,241.5,869.4985425881217 
 03/09  14:50:00,30.9,3.1,222.0,241.2,859.5120152252803 
 03/09  15:00:00,30.9,2.3,232.0,212.6,812.0092761419925 
 03/09  15:10:00,30.6,3.6,161.0,215.8,770.4565526536649 
 03/09  15:20:00,31.5,1.9,192.0,241.2,774.7448034844354 
 03/09  15:30:00,31.8,2.5,193.0,243.8,569.4108138109066 
 03/09  15:40:00,32.0,2.0,168.0,194.8,705.9567426539186 
 03/09  15:50:00,31.4,3.6,176.0,177.8,342.3105356539254 
 03/09  16:00:00,31.3,2.6,195.0,187.5,569.8455918281971 
 03/09  16:10:00,32.0,0.9,268.0,181.7,444.63513882779233 
 03/09  16:20:00,31.4,2.6,197.0,180.4,415.06468760089325 
 03/09  16:30:00,30.9,1.5,223.0,152.0,320.2561578705046 
 03/09  16:40:00,31.9,1.4,174.0,150.5,331.6123695867628 
 03/09  16:50:00,31.6,3.3,173.0,152.3,365.00654653970986 
 03/09  17:00:00,31.9,3.2,180.0,131.7,403.83269175935493 
 03/09  17:10:00,32.2,3.5,179.0,120.0,369.46509287184523 
 03/09  17:20:00,32.2,2.9,213.0,108.4,327.3598728694151 
 03/09  17:30:00,31.8,3.2,196.0,95.7,273.2687824972574 
 03/09  17:40:00,31.9,3.4,195.0,88.7,243.27328490574956 
 03/09  17:50:00,31.6,3.5,180.0,81.2,202.86852594306822 
 03/09  18:00:00,31.8,2.4,177.0,72.77,161.90497652571298 
 03/09  18:10:00,31.4,3.7,204.0,62.46,120.67320697744395 
 03/09  18:20:00,30.8,3.4,196.0,47.66,71.46164007139001 
 03/09  18:30:00,30.5,3.1,194.0,35.43,45.181330578180976 
 03/09  18:40:00,30.3,3.5,192.0,24.59,24.590000000160526 
 03/09  18:50:00,29.8,3.5,184.0,0.0,0.0 
 03/09  19:00:00,29.5,3.4,183.0,0.0,0.0 
 03/09  19:10:00,29.1,3.5,197.0,0.0,0.0 
 03/09  19:20:00,29.0,4.2,206.0,0.0,0.0 
 03/09  19:30:00,28.8,3.7,215.0,0.0,0.0 
 03/09  19:40:00,28.6,4.1,229.0,0.0,0.0 
 03/09  19:50:00,28.4,4.3,238.0,0.0,0.0 
 03/09  20:00:00,28.2,4.7,238.0,0.0,0.0 
 03/09  20:10:00,28.0,4.0,245.0,0.0,0.0 
 03/09  20:20:00,27.8,3.6,254.0,0.0,0.0 
 03/09  20:30:00,27.6,2.8,259.0,0.0,0.0 
 03/09  20:40:00,27.4,2.5,285.0,0.0,0.0 
 03/09  20:50:00,27.1,1.5,212.0,0.0,0.0 
 03/09  21:00:00,26.7,1.4,113.0,0.0,0.0 
 03/09  21:10:00,26.0,0.9,36.0,0.0,0.0 
 03/09  21:20:00,25.7,0.2,23.0,0.0,0.0 
 03/09  21:30:00,25.1,1.2,218.0,0.0,0.0 
 03/09  21:40:00,25.0,0.7,273.0,0.0,0.0 
 03/09  21:50:00,24.9,0.7,344.0,0.0,0.0 
 03/09  22:00:00,23.9,2.4,330.0,0.0,0.0 
 03/09  22:10:00,23.8,2.0,332.0,0.0,0.0 
 03/09  22:20:00,24.3,2.3,152.0,0.0,0.0 
 03/09  22:30:00,24.4,1.7,34.0,0.0,0.0 
 03/09  22:40:00,24.3,0.5,35.0,0.0,0.0 
 03/09  22:50:00,24.4,0.6,90.0,0.0,0.0 
 03/09  23:00:00,24.1,0.0,65.0,0.0,0.0 
 03/09  23:10:00,23.7,0.0,95.0,0.0,0.0 
 03/09  23:20:00,23.7,0.3,59.0,0.0,0.0 
 03/09  23:30:00,23.4,0.8,64.0,0.0,0.0 
 03/09  23:40:00,23.7,1.1,71.0,0.0,0.0 
 03/09  23:50:00,23.8,0.4,50.0,0.0,0.0 
 03/09  24:00:00,23.7,0.8,59.0,0.0,0.0 
 03/10  00:10:00,23.4,0.3,59.0,0.0,0.0 
 03/10  00:20:00,23.4,0.8,43.0,0.0,0.0 
 03/10  00:30:00,23.4,0.7,40.0,0.0,0.0 
 03/10  00:40:00,23.0,0.6,27.0,0.0,0.0 
 03/10  00:50:00,22.9,0.9,26.0,0.0,0.0 
 03/10  01:00:00,22.6,1.0,29.0,0.0,0.0 
 03/10  01:10:00,22.4,1.3,21.0,0.0,0.0 
 03/10  01:20:00,22.5,1.4,14.0,0.0,0.0 
 03/10  01:30:00,22.4,1.5,15.0,0.0,0.0 
 03/10  01:40:00,22.3,1.7,18.0,0.0,0.0 
 03/10  01:50:00,22.2,1.5,19.0,0.0,0.0 
 03/10  02:00:00,22.2,1.7,21.0,0.0,0.0 
 03/10  02:10:00,22.0,1.8,18.0,0.0,0.0 
 03/10  02:20:00,21.9,1.4,176.0,0.0,0.0 
 03/10  02:30:00,21.6,1.4,312.0,0.0,0.0 
 03/10  02:40:00,21.6,2.0,113.0,0.0,0.0 
 03/10  02:50:00,21.5,1.8,12.0,0.0,0.0 
 03/10  03:00:00,21.4,1.5,26.0,0.0,0.0 
 03/10  03:10:00,21.4,0.9,32.0,0.0,0.0 
 03/10  03:20:00,21.5,1.1,29.0,0.0,0.0 
 03/10  03:30:00,21.5,2.0,215.0,0.0,0.0 
 03/10  03:40:00,21.3,1.3,43.0,0.0,0.0 
 03/10  03:50:00,21.4,1.4,282.0,0.0,0.0 
 03/10  04:00:00,21.0,1.6,182.0,0.0,0.0 
 03/10  04:10:00,20.7,1.9,147.0,0.0,0.0 
 03/10  04:20:00,20.5,1.6,333.0,0.0,0.0 
 03/10  04:30:00,20.9,1.8,342.0,0.0,0.0 
 03/10  04:40:00,20.6,1.5,327.0,0.0,0.0 
 03/10  04:50:00,20.4,1.7,323.0,0.0,0.0 
 03/10  05:00:00,20.2,1.8,342.0,0.0,0.0 
 03/10  05:10:00,19.6,1.8,340.0,0.0,0.0 
 03/10  05:20:00,19.0,1.4,345.0,0.0,0.0 
 03/10  05:30:00,19.2,0.7,211.0,0.0,0.0 
 03/10  05:40:00,19.3,0.9,80.0,0.0,0.0 
 03/10  05:50:00,19.6,1.2,121.0,0.0,0.0 
 03/10  06:00:00,19.5,1.4,281.0,0.0,0.0 
 03/10  06:10:00,19.3,2.1,247.0,0.0,0.0 
 03/10  06:20:00,19.0,2.2,354.0,0.0,0.0 
 03/10  06:30:00,18.7,2.0,341.0,0.0,0.0 
 03/10  06:40:00,18.6,2.3,342.0,0.0,0.0 
 03/10  06:50:00,18.8,1.8,334.0,0.0,0.0 
 03/10  07:00:00,19.1,1.5,340.0,0.016,0.017980749159763942 
 03/10  07:10:00,18.8,1.7,334.0,2.75,3.325675943187297 
 03/10  07:20:00,18.2,1.6,344.0,10.64,14.587758406153904 
 03/10  07:30:00,18.5,1.6,328.0,20.91,38.116941545519865 
 03/10  07:40:00,18.3,2.1,329.0,30.38,68.69372111211474 
 03/10  07:50:00,18.9,1.5,330.0,39.01,102.75677701733827 
 03/10  08:00:00,19.7,1.7,333.0,46.2,140.51727560340925 
 03/10  08:10:00,20.0,1.5,237.0,52.47,180.16723822787128 
 03/10  08:20:00,20.9,0.9,212.0,57.82,220.89670247989855 
 03/10  08:30:00,22.1,0.0,176.0,62.36,259.85748978037515 
 03/10  08:40:00,23.5,0.0,125.0,66.7,300.34727870729745 
 03/10  08:50:00,25.0,0.1,173.0,71.31,340.60690917419186 
 03/10  09:00:00,25.4,0.4,160.0,75.98,384.7308526814698 
 03/10  09:10:00,25.1,1.1,162.0,78.24,429.8330552755504 
 03/10  09:20:00,25.2,1.3,145.0,81.2,467.9169077323167 
 03/10  09:30:00,25.4,1.0,164.0,84.3,508.77378264636604 
 03/10  09:40:00,25.3,1.8,180.0,87.2,546.6937732598683 
 03/10  09:50:00,26.2,0.7,152.0,89.5,586.487053847399 
 03/10  10:00:00,26.8,0.9,147.0,91.7,613.4803557580307 
 03/10  10:10:00,26.6,1.1,159.0,94.1,639.2125188361557 
 03/10  10:20:00,27.1,1.6,189.0,96.7,663.9511077785588 
 03/10  10:30:00,27.0,1.3,157.0,98.9,687.0510269503551 
 03/10  10:40:00,27.3,1.7,130.0,100.2,707.9700917224069 
 03/10  10:50:00,28.1,1.6,156.0,101.4,727.4690072662248 
 03/10  11:00:00,28.4,1.4,173.0,102.0,745.011202485732 
 03/10  11:10:00,28.9,0.9,168.0,103.4,761.9628981988012 
 03/10  11:20:00,28.9,1.6,193.0,104.5,777.1935521114332 
 03/10  11:30:00,28.8,1.2,132.0,105.1,790.4750437009726 
 03/10  11:40:00,29.0,1.6,152.0,106.6,803.1823642432214 
 03/10  11:50:00,29.1,1.3,243.0,108.6,814.8935855510183 
 03/10  12:00:00,29.0,2.0,115.0,112.0,826.4896221612065 
 03/10  12:10:00,29.3,1.5,113.0,110.9,832.0543017300653 
 03/10  12:20:00,30.3,1.1,124.0,111.5,837.7745776575399 
 03/10  12:30:00,31.3,1.3,115.0,112.8,842.6404236442763 
 03/10  12:40:00,31.1,1.1,235.0,113.7,845.544845248088 
 03/10  12:50:00,30.3,0.6,131.0,117.0,849.2837365665322 
 03/10  13:00:00,31.5,1.5,266.0,122.6,853.7563992087792 
 03/10  13:10:00,30.7,1.7,154.0,126.3,854.7648999262773 
 03/10  13:20:00,31.0,1.1,183.0,133.5,857.7143620585028 
 03/10  13:30:00,32.0,1.9,130.0,140.2,858.6131860316116 
 03/10  13:40:00,31.1,2.2,150.0,145.9,856.9724839191284 
 03/10  13:50:00,31.9,1.4,176.0,164.8,867.0067117688909 
 03/10  14:00:00,32.4,1.9,185.0,223.4,915.2329957167499 
 03/10  14:10:00,32.6,2.2,198.0,251.3,885.7310115671069 
 03/10  14:20:00,31.9,1.2,141.0,204.7,490.2356850620066 
 03/10  14:30:00,33.3,1.2,185.0,219.8,871.6824307726431 
 03/10  14:40:00,33.7,2.0,181.0,223.1,858.8095327760731 
 03/10  14:50:00,33.4,1.7,170.0,239.1,732.5048719064745 
 03/10  15:00:00,32.8,1.1,127.0,206.9,669.5411845758889 
 03/10  15:10:00,34.1,2.2,112.0,209.1,788.1690117283925 
 03/10  15:20:00,34.2,1.9,178.0,196.9,754.5068727988426 
 03/10  15:30:00,34.1,1.9,130.0,203.6,729.4799366176487 
 03/10  15:40:00,34.3,2.1,119.0,226.5,714.3397202626431 
 03/10  15:50:00,33.5,1.4,125.0,154.0,198.1073091804411 
 03/10  16:00:00,32.8,1.2,181.0,117.8,139.30402262148874 
 03/10  16:10:00,32.3,1.5,186.0,144.3,212.36247603487345 
 03/10  16:20:00,32.9,1.2,138.0,199.3,291.1116646881821 
 03/10  16:30:00,32.9,1.4,130.0,186.6,225.90492424750497 
 03/10  16:40:00,32.5,1.7,125.0,158.7,188.5859558782314 
 03/10  16:50:00,32.5,1.4,113.0,161.0,189.08905000037635 
 03/10  17:00:00,32.5,1.3,118.0,170.7,206.47896907735387 
 03/10  17:10:00,32.3,1.7,115.0,153.6,178.78163086557848 
 03/10  17:20:00,32.3,1.2,101.0,115.4,145.68321703137127 
 03/10  17:30:00,32.5,1.0,73.0,89.7,154.80824640524418 
 03/10  17:40:00,32.2,1.0,68.0,66.57,85.47438606281472 
 03/10  17:50:00,31.7,0.6,40.0,44.92,57.10569123953758 
 03/10  18:00:00,32.2,0.4,77.0,49.93,107.49944953239847 
 03/10  18:10:00,32.2,1.9,181.0,56.95,115.4093901353938 
 03/10  18:20:00,30.8,2.2,148.0,46.32,77.90988165913143 
 03/10  18:30:00,30.1,2.6,283.0,29.21,39.086333217544514 
 03/10  18:40:00,29.4,4.1,112.0,19.93,19.93000004373284 
 03/10  18:50:00,29.1,3.4,7.0,0.0,0.0 
 03/10  19:00:00,29.0,2.5,75.0,0.0,0.0 
 03/10  19:10:00,28.6,2.4,75.0,0.0,0.0 
 03/10  19:20:00,28.1,2.5,146.0,0.0,0.0 
 03/10  19:30:00,27.9,2.4,281.0,0.0,0.0 
 03/10  19:40:00,27.7,2.8,281.0,0.0,0.0 
 03/10  19:50:00,27.5,2.4,350.0,0.0,0.0 
 03/10  20:00:00,27.3,2.4,335.0,0.0,0.0 
 03/10  20:10:00,27.1,2.6,273.0,0.0,0.0 
 03/10  20:20:00,26.9,2.7,309.0,0.0,0.0 
 03/10  20:30:00,26.9,2.4,315.0,0.0,0.0 
 03/10  20:40:00,27.3,3.2,342.0,0.0,0.0 
 03/10  20:50:00,26.8,2.3,37.0,0.0,0.0 
 03/10  21:00:00,26.5,1.5,88.0,0.0,0.0 
 03/10  21:10:00,26.4,0.3,93.0,0.0,0.0 
 03/10  21:20:00,26.3,1.1,205.0,0.0,0.0 
 03/10  21:30:00,26.2,0.4,113.0,0.0,0.0 
 03/10  21:40:00,25.9,0.2,162.0,0.0,0.0 
 03/10  21:50:00,25.4,0.6,25.0,0.0,0.0 
 03/10  22:00:00,25.5,1.2,28.0,0.0,0.0 
 03/10  22:10:00,25.4,0.5,183.0,0.0,0.0 
 03/10  22:20:00,25.4,2.0,277.0,0.0,0.0 
 03/10  22:30:00,25.0,2.4,179.0,0.0,0.0 
 03/10  22:40:00,24.7,2.3,53.0,0.0,0.0 
 03/10  22:50:00,24.7,1.6,14.0,0.0,0.0 
 03/10  23:00:00,24.9,1.8,50.0,0.0,0.0 
 03/10  23:10:00,24.7,1.6,310.0,0.0,0.0 
 03/10  23:20:00,24.5,1.8,267.0,0.0,0.0 
 03/10  23:30:00,24.3,1.0,307.0,0.0,0.0 
 03/10  23:40:00,24.0,0.6,333.0,0.0,0.0 
 03/10  23:50:00,23.7,1.2,326.0,0.0,0.0 
 03/10  24:00:00,23.3,1.3,330.0,0.0,0.0 
